system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,1.1769644E-7,0,-1.2371771E-8,1525.2002,-0.002449546,109,7295.2,-0.02693521,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.053637063694335,41.75979655674849]}"
1,5.9851224E-8,0,-6.3090155E-10,1609.3994,0.026403427,96,6712.2,-0.09504779,2604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.067102380559545,41.77692971815992]}"
2,1.32966E-7,0,1.073434E-8,921.3999,0.0046702474,-49,5185.2,-0.1891892,1545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.162598583874164,41.761723263185765]}"
3,8.671536E-8,0,-7.08679E-9,1333.5996,-0.0035584979,90,8115.2,-0.048988953,2281,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.115102842904317,41.75136956686889]}"
4,2.1769705E-7,0,2.9141165E-7,-1637.2,0.13018575,-361,5224.0,-0.06446281,1415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.121391138370878,41.74006907552325]}"
5,1.3806412E-7,0,4.6057508E-8,563.6001,0.1018593,-91,7037.4,-0.012611666,1879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.015840419216756,41.82432827249806]}"
6,1.2595359E-7,0,2.510781E-8,349.7998,0.015716579,-146,6508.0,0.0062735258,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.987578444311574,41.80678957740199]}"
7,4.5250463E-8,0,-7.637418E-9,1004.6001,-7.9780817E-4,261,7467.6,-0.16760714,2729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.050605248453262,41.79408774599366]}"
8,7.152555E-7,0,1.9546303E-6,-1422.2,0.14354908,-357,3405.4,0.022727273,855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.184172895133857,41.910220868593456]}"
9,2.2302258E-7,0,6.3940476E-8,-744.6001,-0.00664535,-182,4968.6,-0.024048096,1461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.192341372820986,41.89352610855966]}"
10,7.329005E-8,0,-9.720154E-10,681.7998,0.030142248,103,6976.2,-0.1986729,2053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.08290173307293,41.80813060959026]}"
11,5.1928815E-8,0,-3.6851944E-10,4613.1997,0.14239116,486,6954.6,-0.16342857,2562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.767250025016053,42.05267670796921]}"
12,1.5883201E-7,0,1.1993116E-7,-1071.2002,0.044966057,-280,5996.2,-0.1875,1417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.141628166375455,42.00772263756834]}"
13,1.2080295E-7,0,-1.5242279E-9,-1161.2002,0.08162348,199,7298.0,-0.25920284,1459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.125711639357723,42.005981329222564]}"
14,1.1117093E-7,0,1.0485159E-8,813.7998,0.04353638,20,6787.6,-0.15922655,1761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.14075227962654,41.99204466974774]}"
15,1.0051353E-7,0,3.2822243E-9,1260.8003,0.05807375,113,6229.8,-0.17923024,1802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.242285954761636,41.981951854936945]}"
16,9.365918E-8,0,3.4123488E-8,880.3999,0.067328915,-110,5967.2,-0.20406361,1802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.242334000128034,41.97789919534861]}"
17,1.1702649E-7,0,-9.6123E-9,868.3999,0.02938141,149,5995.2,-0.10187212,1847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.215934124351044,41.945568225544974]}"
18,5.4896493E-8,0,-5.273801E-9,2465.3994,0.064074084,349,8318.4,-0.21362019,2321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.218951328343802,41.93559138687699]}"
