system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,3.0759122E-7,1,8.377384E-8,-405.59998,0.23244211,202,262.8,-0.32125205,824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.011892062584586,41.350608099927044]}"
1,2.0909208E-7,1,1.15741585E-8,7887.0,0.70517623,1051,-389.8,-0.4439335,786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.8843121922403965,41.450504883183335]}"
2,4.9924586E-7,1,-2.5393007E-7,2002.7998,0.47349298,888,2586.6,0.027486257,1028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.903971976356206,41.43475090457343]}"
3,1.7411897E-7,1,7.424528E-8,-245.80005,0.094350606,9,-1491.2,-0.44036105,868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.788387551193159,41.394139435177934]}"
4,3.099978E-7,1,3.693441E-8,284.6001,0.13590045,116,3191.0,-0.1504777,1067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.763785633504744,41.38577109690804]}"
5,1.8266437E-7,1,3.807341E-8,-548.39996,0.057367176,2,-501.8,-0.32085052,1070,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.740185846762184,41.5671006614573]}"
6,1.0747901E-6,1,-1.5037932E-7,-1550.3999,0.009184408,59,1961.6,-0.02346041,666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.760361614129957,41.56569870127376]}"
7,6.706039E-7,1,-3.2747255E-7,5991.4004,0.38219664,718,30.8,-0.33659133,543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.884585654216366,41.560215653658965]}"
8,2.158402E-7,1,-1.5204847E-8,3546.4,0.21810172,420,2941.0,-0.24915369,1109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.874262026877114,41.55390010062883]}"
9,1.8269196E-6,1,-5.5892065E-7,194.59998,0.13170478,181,460.0,-0.03250478,506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.744535067434115,41.54688226079749]}"
10,3.792148E-7,1,-6.932697E-8,-2197.4,0.094770014,236,3057.4,-0.07114797,1064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.503605125538499,41.2964906390886]}"
11,3.9367572E-7,1,-7.2865106E-8,1008.8,0.22967316,402,-399.2,-0.22126307,857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.52067112493426,41.265756438052115]}"
12,2.7952726E-7,1,3.079695E-7,1031.4,0.2487508,7,-1406.4,-0.35501784,813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.38762523081096,41.32241468534048]}"
13,2.5172443E-7,1,8.055281E-10,-2345.4,0.02470161,38,1704.4,-0.25283572,1021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.307718928246558,41.31952975111017]}"
14,4.4957625E-7,1,1.4038915E-7,1742.5999,0.39178798,329,-2712.4,-0.41405848,571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.39887107700073,41.30788152628798]}"
15,2.118532E-7,1,4.7016755E-9,-337.6001,0.04702399,56,2049.6,-0.03419082,1483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.427276577933315,41.297217117031]}"
16,5.6774337E-7,1,-4.850834E-7,6593.2,1.2410173,2962,-872.0,-0.42278773,499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.750009285739836,41.88771786524519]}"
17,1.3109717E-6,1,-1.055517E-6,5389.0,1.0253475,1566,-1360.2,-0.3556701,375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.756605305990568,41.864764557732485]}"
18,1.0191775E-7,1,8.5592475E-8,14.599976,0.1727092,-17,573.2,-0.37871107,1287,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.834407565216308,41.831937823256595]}"
19,7.1837644E-7,1,-4.5850223E-7,7992.4,0.7223904,1274,-1274.6,-0.35837045,504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.728917888004746,41.8301160615657]}"
20,2.1920839E-7,1,-8.5784436E-8,6317.4,0.42362338,1145,2115.6,-0.28650138,1036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.744521619105646,41.812858504203525]}"
21,3.192383E-7,1,1.9021249E-7,-481.8,0.18688218,46,379.0,-0.33586177,788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.673526856162871,41.781604625551275]}"
22,2.8281573E-7,1,-8.962428E-8,8143.1997,0.6172971,1162,593.6,-0.36913827,787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.7581027943789,41.75506297491125]}"
23,2.3626376E-7,1,8.748259E-9,-2548.5999,-0.13823165,-246,318.4,-0.17335193,1185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.233217867701457,41.19231876815547]}"
24,3.7188622E-7,1,-2.8223354E-8,-702.80005,0.05636753,114,2091.6,-0.07958478,1064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.24864936339192,41.18809671763452]}"
25,2.473752E-7,1,1.8016237E-9,176.0,0.04987818,71,2324.6,-0.10537482,1265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.234382325664878,41.18448969874593]}"
26,4.2107115E-7,1,-1.7420541E-7,7355.4,0.84901214,1290,-1452.0,-0.42643392,575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.599578738779677,41.714088103878915]}"
