system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,2.2761921E-7,0,1.6529077E-7,-1325.0,-0.012634575,-419,6535.6,0.16689466,1706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.021282104051702,41.058026799373216]}"
1,2.3424602E-7,0,1.9162707E-7,-407.7998,0.07202092,-428,5995.8,0.3063708,1825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.129111667480574,41.05727074508261]}"
2,1.4832234E-7,0,6.0132663E-9,1315.7998,-0.03086248,-89,7571.8,0.12263375,2046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.118191159428575,41.525224785202056]}"
3,1.9058328E-7,0,5.1619878E-8,-550.2002,-0.06692706,-291,7037.6,0.14089775,1830,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.998324915605076,41.04161518224534]}"
4,1.695442E-7,0,1.3624842E-8,-405.6001,-0.03914845,-127,8570.2,0.20320855,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.108389224574891,41.03197990460279]}"
5,1.7452889E-7,0,1.768747E-8,1265.5996,-0.016349316,-116,7293.2,0.31495818,2123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.18428402155896,41.04173028139324]}"
6,1.9758099E-7,0,8.600071E-8,-2044.6001,-0.05554849,-368,8921.0,0.2016672,1874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.167707162404573,41.139168028256734]}"
7,1.963226E-7,0,1.2261613E-7,-639.3999,0.027889334,-345,6508.8,0.09726157,1743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.188885306979826,41.13202269798557]}"
8,1.3575288E-7,0,2.0945441E-7,-3497.1997,0.11689308,-818,10277.8,0.30356658,2394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.31188461655858,41.874579829414024]}"
9,9.6384234E-8,0,-2.1587574E-8,1164.8008,-0.021779664,300,9469.6,0.14076701,2573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.321073825624326,41.86031370030938]}"
10,1.0157644E-7,0,-6.991989E-9,1605.7998,0.0039350614,83,8652.4,-0.08663198,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.248249936480846,41.844188255275256]}"
11,2.4242314E-7,0,2.3181948E-7,-2179.0,0.058642447,-434,6851.2,0.18809777,1677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.212180091326742,41.8388126158253]}"
12,2.548075E-7,0,2.2996932E-7,-811.3999,0.057090104,-458,6917.6,0.3383572,1776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.270006614383785,41.83757347038042]}"
13,2.8579723E-7,0,1.7055231E-7,-637.0,0.024883881,-314,6328.8,0.23572816,1591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296250392502102,41.78369593538422]}"
14,1.9472793E-7,0,9.139285E-10,982.0,0.047772557,47,8411.2,0.23357898,1925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296773746408277,41.768837685399134]}"
