system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,1.4417036E-7,0,3.0358535E-8,-1345.3994,-0.13557184,-340,8638.6,0.45053002,2463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.18428402155896,41.04173028139324]}"
1,1.4666657E-7,0,1.6557777E-9,953.1997,-0.08477775,-137,6618.6,0.2074115,2183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.118191159428575,41.525224785202056]}"
2,1.6518078E-7,0,6.243843E-8,-743.3999,-0.048272893,-361,7279.0,0.21516755,2067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.021282104051702,41.058026799373216]}"
3,1.3267615E-7,0,1.0156987E-7,-1956.8003,0.029513508,-564,7952.6,0.2768573,2389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.129111667480574,41.05727074508261]}"
4,1.5481086E-7,0,3.5772416E-8,-673.0,-0.017975494,-227,7710.6,0.15887325,2057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.998324915605076,41.04161518224534]}"
5,1.2997386E-7,0,3.9570338E-8,-45.799805,-0.072307035,-387,8616.0,0.2755156,2412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.108389224574891,41.03197990460279]}"
6,1.6472724E-7,0,3.2853748E-8,48.0,-0.0043099374,-184,8873.0,0.20597714,2058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.167707162404573,41.139168028256734]}"
7,1.5918833E-7,0,3.713427E-8,-308.0,-0.035350837,-247,6816.8,0.1326124,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.188885306979826,41.13202269798557]}"
8,1.213036E-7,0,1.4449284E-8,652.5996,-0.015978396,-158,9625.2,0.31954497,2552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.31188461655858,41.874579829414024]}"
9,1.9546891E-7,0,-3.7521374E-8,1620.8003,0.020739615,252,7080.6,0.42692047,2099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.312029477073741,41.86107049184978]}"
10,9.782538E-8,0,-1.4411441E-9,101.0,-0.0750701,-114,9368.6,0.2158371,2687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.321073825624326,41.86031370030938]}"
11,9.93587E-8,0,2.2177389E-9,-743.0,-0.2838151,-616,9395.4,0.1971831,2635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.248249936480846,41.844188255275256]}"
12,1.3473753E-7,0,1.0768561E-7,-1399.2002,-0.066321075,-665,8250.4,0.25441885,2342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.212180091326742,41.8388126158253]}"
13,1.5993874E-7,0,9.486877E-8,-438.6001,-0.11980763,-568,7356.2,0.45816484,2344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.270006614383785,41.83757347038042]}"
14,2.0212023E-7,0,8.3676994E-8,-1292.8003,-0.09581907,-397,7621.6,0.33154723,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296250392502102,41.78369593538422]}"
15,1.9993641E-7,0,-5.208477E-9,810.8003,-0.07658321,-54,7600.4,0.3101622,1979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.296773746408277,41.768837685399134]}"
