system:index,baiml,class,dBAIML,dMIRBI,dNBR,dNir,mirbi,nbr,nir,.geo
0,1.692121E-7,0,-6.616767E-8,784.5996,0.011248618,628,7806.0,0.3421457,2183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.38762523081096,41.32241468534048]}"
1,2.7933862E-7,0,-1.5923746E-8,-11.600098,0.12094055,161,6865.6,0.1878327,1562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.307718928246558,41.31952975111017]}"
2,1.9609966E-7,0,-9.5578606E-8,-1686.0005,-0.12141904,705,8591.4,0.45223367,2113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.39887107700073,41.30788152628798]}"
3,1.9307508E-7,0,-8.706114E-8,2590.3994,0.060300767,782,8952.2,0.34252873,2044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.427276577933315,41.297217117031]}"
4,3.621883E-7,0,-3.3536196E-8,-2017.6001,-0.55531144,-261,2425.6,0.6736788,1631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.903971976356206,41.43475090457343]}"
5,2.1072788E-7,0,-5.230939E-8,844.4004,0.035077035,334,9577.6,0.35977924,1971,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.788387551193159,41.394139435177934]}"
6,1.6312157E-7,0,-1.0975228E-8,292.6006,0.08699885,167,9241.6,0.28796434,2167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.233217867701457,41.19231876815547]}"
7,2.589984E-7,0,-7.142154E-8,-858.3999,0.08135426,364,6506.0,0.56935817,1895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.24864936339192,41.18809671763452]}"
8,2.2753387E-7,0,-4.2716778E-8,476.2002,0.015651941,229,6986.0,0.59231675,2031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.234382325664878,41.18448969874593]}"
9,2.8007962E-6,0,-4.9334994E-7,1953.5999,0.32169852,106,272.8,0.3610063,541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.599578738779677,41.714088103878915]}"
10,1.8078271E-6,0,-9.143787E-8,133.19995,-0.012425244,14,2435.8,0.35620585,672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.884585654216366,41.560215653658965]}"
11,1.787028E-7,0,-4.016404E-8,-796.0005,0.038806207,313,8518.4,0.108839445,1844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.874262026877114,41.55390010062883]}"
12,7.216024E-8,0,-9.819786E-9,-363.1997,-0.031246662,278,6769.4,0.90422535,3718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.750009285739836,41.88771786524519]}"
13,4.611441E-7,0,-8.45385E-8,671.0,0.007966101,157,2605.4,0.8523659,1468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.756605305990568,41.864764557732485]}"
14,8.7745185E-8,0,-4.306983E-9,-68.80078,-0.041995615,15,13105.4,0.3306861,3016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.834407565216308,41.831937823256595]}"
15,2.0439668E-6,0,-9.1910067E-7,2153.5999,0.12693563,259,1997.2,0.3100529,619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.728917888004746,41.8301160615657]}"
16,2.3080514E-7,0,3.3258402E-8,-1531.2002,0.048896313,-56,7119.2,0.15080728,1675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.744521619105646,41.812858504203525]}"
17,2.451913E-7,0,-1.5137815E-8,-151.0,0.0804933,107,8500.6,0.43304083,1878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.673526856162871,41.781604625551275]}"
18,4.2082402E-7,0,-1.4395442E-7,377.3999,0.07919669,376,7266.6,0.34660193,1387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.7581027943789,41.75506297491125]}"
